Local Time (America/New_York),Reactive Power Mean,Active Power Mean,Apparent Power Mean
"9/26/2023, 10:30:00 PM",-1.78478682,10.15179825,10.65506744
"9/26/2023, 10:45:00 PM",-1.650016785,10.38841534,10.86051846
"9/26/2023, 11:00:00 PM",-1.593856215,10.44612312,10.90570068
"9/26/2023, 11:15:00 PM",-1.741100669,10.3059845,10.79147053
"9/26/2023, 11:30:00 PM",-1.766488552,10.1746521,10.65598392
"9/26/2023, 11:45:00 PM",-1.801013589,10.1369524,10.63558674
"9/27/2023, 12:00:00 AM",-1.773111939,10.17673588,10.66157055
"9/27/2023, 12:15:00 AM",-1.766761422,10.25251675,10.74247551
"9/27/2023, 12:30:00 AM",-1.789230108,10.13875675,10.63173962
"9/27/2023, 12:45:00 AM",-1.772097468,10.1547451,10.63676071
"9/27/2023, 1:00:00 AM",-1.768151999,10.27403831,10.76499939
"9/27/2023, 1:15:00 AM",-1.755930185,10.20387459,10.68596172
"9/27/2023, 1:30:00 AM",-1.731701493,10.23101044,10.70737076
"9/27/2023, 1:45:00 AM",-1.732435465,10.34655857,10.83584118
"9/27/2023, 2:00:00 AM",-1.818342328,10.11050415,10.60361195
"9/27/2023, 2:15:00 AM",-1.852932096,10.01997185,10.52503967
"9/27/2023, 2:30:00 AM",-1.794406891,10.22650623,10.72196007
"9/27/2023, 2:45:00 AM",-1.784291029,10.16280937,10.65436268
"9/27/2023, 3:00:00 AM",-1.800608277,10.15522766,10.65194702
"9/27/2023, 3:15:00 AM",-1.758417845,10.29476738,10.77922535
"9/27/2023, 3:30:00 AM",-1.767649412,10.17278385,10.65332699
"9/27/2023, 3:45:00 AM",-1.786661506,10.16686344,10.65605831
"9/27/2023, 4:00:00 AM",-1.763375163,10.28021717,10.76289368
"9/27/2023, 4:15:00 AM",-1.770797133,10.24428082,10.72661209
"9/27/2023, 4:30:00 AM",-1.937206984,10.03613758,10.55536366
"9/27/2023, 4:45:00 AM",-1.968063474,10.07531166,10.60625076
"9/27/2023, 5:00:00 AM",-1.783555746,10.25853252,10.74366665
"9/27/2023, 5:15:00 AM",-1.816137671,10.25562477,10.75236416
"9/27/2023, 5:30:00 AM",-1.780637264,10.36174107,10.84832859
"9/27/2023, 5:45:00 AM",-1.818516731,10.22512436,10.71881008
"9/27/2023, 6:00:00 AM",-1.887699366,10.10637474,10.61666012
"9/27/2023, 6:15:00 AM",-2.016639709,9.922305107,10.46038532
"9/27/2023, 6:30:00 AM",-1.828880668,10.21196747,10.71210003
"9/27/2023, 6:45:00 AM",-1.830050826,10.21620464,10.71800804
"9/27/2023, 7:00:00 AM",-1.763872027,10.39422321,10.88020897
"9/27/2023, 7:15:00 AM",-0.138139486,9.155700684,9.243016243
"9/27/2023, 7:30:00 AM",-0.122220971,9.148195267,9.226436615
"9/27/2023, 7:45:00 AM",0.093199216,9.105128288,9.167456627
"9/27/2023, 8:00:00 AM",-0.001609856,8.796626091,8.848877907
"9/27/2023, 8:15:00 AM",0.019668134,8.821468353,8.875267982
"9/27/2023, 8:30:00 AM",0.120019771,9.054905891,9.111554146
"9/27/2023, 8:45:00 AM",0.063393682,8.902392387,8.960414886
"9/27/2023, 9:00:00 AM",0.118398339,8.956694603,9.017046928
"9/27/2023, 9:15:00 AM",0.124078259,9.075529099,9.133006096
"9/27/2023, 9:30:00 AM",0.121690959,8.98052597,9.03783989
"9/27/2023, 9:45:00 AM",0.136504307,8.988347054,9.044915199
"9/27/2023, 10:00:00 AM",0.138380036,9.091897011,9.152327538
"9/27/2023, 10:15:00 AM",0.137481228,8.986290932,9.04447937
"9/27/2023, 10:30:00 AM",0.129423082,8.985547066,9.042123795
"9/27/2023, 10:45:00 AM",0.137448624,9.096323967,9.153423309
"9/27/2023, 11:00:00 AM",0.125666752,8.985687256,9.044645309
"9/27/2023, 11:15:00 AM",0.172130197,9.037311554,9.095388412
"9/27/2023, 11:30:00 AM",0.251101375,9.237616539,9.295219421
"9/27/2023, 11:45:00 AM",0.262054145,9.141623497,9.220524788
"9/27/2023, 12:00:00 PM",0.232725218,9.116167068,9.179480553
"9/27/2023, 12:15:00 PM",0.216874406,9.198536873,9.258227348
"9/27/2023, 12:30:00 PM",0.107227467,8.884160995,8.942412376
"9/27/2023, 12:45:00 PM",0.206529722,8.808765411,8.861712456
"9/27/2023, 1:00:00 PM",0.439977348,9.393074036,9.459848404
"9/27/2023, 1:15:00 PM",0.210404232,8.965037346,9.024137497
"9/27/2023, 1:30:00 PM",0.096741877,8.835744858,8.894547462
"9/27/2023, 1:45:00 PM",0.533041716,9.548332214,9.615641594
"9/27/2023, 2:00:00 PM",0.067468509,8.818806648,8.876245499
"9/27/2023, 2:15:00 PM",0.107009217,8.829107285,8.886303902
"9/27/2023, 2:30:00 PM",0.119837433,8.942270279,9.001921654
"9/27/2023, 2:45:00 PM",0.421623737,9.064254761,9.11975193
"9/27/2023, 3:00:00 PM",0.598209023,9.129741669,9.191658974
"9/27/2023, 3:15:00 PM",0.184555158,8.894607544,8.954600334
"9/27/2023, 3:30:00 PM",0.290999234,8.945457458,9.007892609
"9/27/2023, 3:45:00 PM",0.317849368,8.983285904,9.046131134
"9/27/2023, 4:00:00 PM",0.405960381,9.193035126,9.258677483
"9/27/2023, 4:15:00 PM",0.120442741,8.709266663,8.767702103
"9/27/2023, 4:30:00 PM",0.438796014,9.160586357,9.226750374
"9/27/2023, 4:45:00 PM",0.273204654,9.000255585,9.062045097
"9/27/2023, 5:00:00 PM",0.138132229,8.72311306,8.782420158
"9/27/2023, 5:15:00 PM",0.233334675,8.858398438,8.921143532
"9/27/2023, 5:30:00 PM",0.467745215,9.308465004,9.373965263
"9/27/2023, 5:45:00 PM",0.188334659,8.916337013,8.976305962
"9/27/2023, 6:00:00 PM",0.143678814,8.883486748,8.941303253
"9/27/2023, 6:15:00 PM",0.182677194,9.010478973,9.06842041
"9/27/2023, 6:30:00 PM",0.172946945,8.905424118,8.963832855
"9/27/2023, 6:45:00 PM",0.131433606,8.847583771,8.904958725
"9/27/2023, 7:00:00 PM",-0.091131806,8.852470398,8.909633636
"9/27/2023, 7:15:00 PM",-0.286851019,8.7377491,8.811541557
"9/27/2023, 7:30:00 PM",-0.610503018,9.398052216,9.618091583
"9/27/2023, 7:45:00 PM",-1.791980982,10.2152319,10.7083683
"9/27/2023, 8:00:00 PM",-1.795610428,10.09249783,10.58000183
"9/27/2023, 8:15:00 PM",-1.78567028,10.09903526,10.5866251
"9/27/2023, 8:30:00 PM",-2.065891027,9.708882332,10.25969696
"9/27/2023, 8:45:00 PM",-1.751446962,10.18003273,10.66144753
"9/27/2023, 9:00:00 PM",-1.779152751,10.12085533,10.60460472
"9/27/2023, 9:15:00 PM",-1.773875952,10.23368073,10.72082996
"9/27/2023, 9:30:00 PM",-1.751515746,10.23605251,10.7116785
"9/27/2023, 9:45:00 PM",-1.824670792,10.23996449,10.72786045
"9/27/2023, 10:00:00 PM",-1.936547637,10.29810429,10.79038525
"9/27/2023, 10:15:00 PM",-2.035973549,10.02600193,10.52802944
"9/27/2023, 10:30:00 PM",-2.086390734,9.817530632,10.3473711
"9/27/2023, 10:45:00 PM",-1.799149871,10.34143734,10.83214664
"9/27/2023, 11:00:00 PM",-1.802825689,10.23688889,10.72400761
"9/27/2023, 11:15:00 PM",-1.914982915,10.02038956,10.53242397
"9/27/2023, 11:30:00 PM",-1.957432985,9.998702049,10.51157761
"9/27/2023, 11:45:00 PM",-1.800185323,10.29322052,10.78734112
"9/28/2023, 12:00:00 AM",-2.056437731,9.737455368,10.27435589
"9/28/2023, 12:15:00 AM",-1.815495253,10.19262886,10.6807127
"9/28/2023, 12:30:00 AM",-1.771191359,10.36425304,10.84514332
"9/28/2023, 12:45:00 AM",-2.102712631,9.685510635,10.23282623
"9/28/2023, 1:00:00 AM",-1.796228051,10.22912216,10.71314144
"9/28/2023, 1:15:00 AM",-2.097650051,9.817191124,10.36507225
"9/28/2023, 1:30:00 AM",-1.787190795,10.2420454,10.7276001
"9/28/2023, 1:45:00 AM",-2.197959661,9.691975594,10.23770046
"9/28/2023, 2:00:00 AM",-1.860201955,10.33907127,10.81766701
"9/28/2023, 2:15:00 AM",-2.163682222,9.688615799,10.22789001
"9/28/2023, 2:30:00 AM",-1.87302196,10.2217083,10.7023735
"9/28/2023, 2:45:00 AM",-1.968240857,10.14564133,10.65311623
"9/28/2023, 3:00:00 AM",-2.145075798,9.864524841,10.38509464
"9/28/2023, 3:15:00 AM",-1.918165684,10.19788456,10.68271255
"9/28/2023, 3:30:00 AM",-2.272458553,9.785532951,10.33232403
"9/28/2023, 3:45:00 AM",-1.899403453,10.20458412,10.67912102
"9/28/2023, 4:00:00 AM",-2.330464125,9.6541605,10.20680618
"9/28/2023, 4:15:00 AM",-1.945903063,10.3099184,10.79084778
"9/28/2023, 4:30:00 AM",-2.274472952,9.791445732,10.31712818
"9/28/2023, 4:45:00 AM",-2.155576468,10.04665375,10.54173088
"9/28/2023, 5:00:00 AM",-2.113413811,10.25137234,10.74358463
"9/28/2023, 5:15:00 AM",-2.617904186,9.615841866,10.16809464
"9/28/2023, 5:30:00 AM",-2.196251631,10.12774658,10.61386681
"9/28/2023, 5:45:00 AM",-2.586481571,9.715286255,10.26936626
"9/28/2023, 6:00:00 AM",-2.247683764,10.10774136,10.60490799
"9/28/2023, 6:15:00 AM",-2.692554951,9.570092201,10.13037109
"9/28/2023, 6:30:00 AM",-2.193842411,10.20898438,10.70279598
"9/28/2023, 6:45:00 AM",-2.692371368,9.569051743,10.13094044
"9/28/2023, 7:00:00 AM",-1.79756546,9.88498497,10.28574562
"9/28/2023, 7:15:00 AM",-0.481274188,8.649785995,8.722630501
"9/28/2023, 7:30:00 AM",-0.122247659,9.066077232,9.138342857
"9/28/2023, 7:45:00 AM",-0.319444269,8.420619011,8.471693039
"9/28/2023, 8:00:00 AM",0.121986948,9.028635979,9.084355354
"9/28/2023, 8:15:00 AM",0.091514058,8.865304947,8.91925621
"9/28/2023, 8:30:00 AM",-0.275452703,8.396835327,8.443776131
"9/28/2023, 8:45:00 AM",0.119842604,9.011965752,9.066023827
